what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514938265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514938281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515003546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515005406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515009953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515010421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515094937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515096218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515684312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515687484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515687500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328515687656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516446718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516449062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516616593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516619859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516619859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516619968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516890921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328516891750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517048562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517049171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517049812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517421562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517422000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517947281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517948546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517949171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517976156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517980078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328517983078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328518963921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328518964765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328518965843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328519115093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328519117734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328519117906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328519121328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328519122687
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328519123796
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1328519125250
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.216,"com.altera.debug.cdi.gdb.plugin",1328519125312
stopped,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1328519125312
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1328519125312
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1328519125359
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1328519125375
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1328519125375
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1328519125421
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1328519125437
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1328519125453
stopped,bundle,com.altera.sbtgui.ui,11.1.0.216,"com.altera.sbtgui.ui",1328519125468
stopped,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1328519125468
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1329788509984
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1329788509984
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1329788509984
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1329788509984
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1329788509984
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1329788509984
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1329788509984
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1329788509984
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1329788509984
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1329788509984
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1329788509984
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1329788509984
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1329788509984
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1329788509984
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1329788509984
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1329788509984
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1329788509984
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1329788509984
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1329788509984
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1329788509984
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1329788510000
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1329788510000
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1329788510000
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1329788510000
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1329788510000
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1329788510000
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1329788510000
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1329788510000
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1329788510000
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1329788510000
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1329788510000
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1329788510000
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1329788510000
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1329788510000
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1329788510000
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1329788510000
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1329788510000
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1329788510000
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1329788510000
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1329788510000
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1329788510000
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1329788510000
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1329788510000
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1329788510000
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1329788510000
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1329788510015
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1329788510015
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1329788510015
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1329788510015
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1329788510015
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1329788510015
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1329788510015
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1329788510015
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1329788510015
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1329788510015
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1329788510015
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1329788510015
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1329788510015
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1329788510015
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1329788510015
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1329788510015
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1329788510015
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1329788510015
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1329788510015
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1329788510015
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1329788510015
